"","bucket","ntree","sampsize","trainError","cvError"
"result.1",1,50,0.8,0.200688888888889,0.277
"result.2",2,75,0.8,0.122044444444444,0.1894
"result.3",3,100,0.8,0.124866666666667,0.1822
"result.4",4,125,0.8,0.127111111111111,0.1928
"result.5",5,150,0.8,0.125933333333333,0.2062
"result.6",6,175,0.8,0.149666666666667,0.2218
"result.7",7,200,0.8,0.120511111111111,0.1946
"result.8",8,225,0.8,0.123422222222222,0.204
"result.9",9,250,0.8,0.1154,0.1912
"result.10",10,50,0.8,0.141088888888889,0.2168
"result.11",1,75,0.8,0.21,0.2812
"result.12",2,100,0.8,0.126155555555556,0.1908
"result.13",3,125,0.8,0.120044444444444,0.1812
"result.14",4,150,0.8,0.129733333333333,0.198
"result.15",5,175,0.8,0.1288,0.2058
"result.16",6,200,0.8,0.142644444444444,0.2176
"result.17",7,225,0.8,0.124044444444444,0.195
"result.18",8,250,0.8,0.126466666666667,0.2052
"result.19",9,50,0.8,0.122222222222222,0.1968
"result.20",10,75,0.8,0.148177777777778,0.223
"result.21",1,100,0.8,0.2038,0.278
"result.22",2,125,0.8,0.1216,0.1868
"result.23",3,150,0.8,0.122266666666667,0.1846
"result.24",4,175,0.8,0.130133333333333,0.1958
"result.25",5,200,0.8,0.125644444444444,0.2064
"result.26",6,225,0.8,0.144422222222222,0.2182
"result.27",7,250,0.8,0.125044444444444,0.1972
"result.28",8,50,0.8,0.129444444444444,0.2032
"result.29",9,75,0.8,0.122533333333333,0.1984
"result.30",10,100,0.8,0.1386,0.2198
"result.31",1,125,0.8,0.201355555555556,0.2796
"result.32",2,150,0.8,0.118733333333333,0.185
"result.33",3,175,0.8,0.120666666666667,0.1812
"result.34",4,200,0.8,0.123822222222222,0.1926
"result.35",5,225,0.8,0.121977777777778,0.2024
"result.36",6,250,0.8,0.143533333333333,0.2166
"result.37",7,50,0.8,0.116555555555556,0.1926
"result.38",8,75,0.8,0.119866666666667,0.2038
"result.39",9,100,0.8,0.1184,0.193
"result.40",10,125,0.8,0.137044444444444,0.2198
"result.41",1,150,0.8,0.210288888888889,0.283
"result.42",2,175,0.8,0.123288888888889,0.187
"result.43",3,200,0.8,0.121577777777778,0.1822
"result.44",4,225,0.8,0.126466666666667,0.1946
"result.45",5,250,0.8,0.122822222222222,0.2032
"result.46",6,50,0.8,0.141222222222222,0.2148
"result.47",7,75,0.8,0.125355555555556,0.1962
"result.48",8,100,0.8,0.1192,0.2
"result.49",9,125,0.8,0.122022222222222,0.1928
"result.50",10,150,0.8,0.141044444444444,0.2202
"result.51",1,175,0.8,0.2074,0.2776
"result.52",2,200,0.8,0.121022222222222,0.1842
"result.53",3,225,0.8,0.118444444444444,0.1792
"result.54",4,250,0.8,0.1266,0.1976
"result.55",5,50,0.8,0.128311111111111,0.2104
"result.56",6,75,0.8,0.148911111111111,0.22
"result.57",7,100,0.8,0.121022222222222,0.1934
"result.58",8,125,0.8,0.124511111111111,0.202
"result.59",9,150,0.8,0.114266666666667,0.1944
"result.60",10,175,0.8,0.135244444444444,0.218
"result.61",1,200,0.8,0.209488888888889,0.2796
"result.62",2,225,0.8,0.120888888888889,0.1844
"result.63",3,250,0.8,0.1228,0.1846
"result.64",4,50,0.8,0.128911111111111,0.1988
"result.65",5,75,0.8,0.131133333333333,0.2086
"result.66",6,100,0.8,0.142844444444444,0.2166
"result.67",7,125,0.8,0.117577777777778,0.1938
"result.68",8,150,0.8,0.122555555555556,0.2068
"result.69",9,175,0.8,0.122488888888889,0.199
"result.70",10,200,0.8,0.138844444444444,0.2178
"result.71",1,225,0.8,0.208511111111111,0.28
"result.72",2,250,0.8,0.126377777777778,0.1854
"result.73",3,50,0.8,0.124355555555556,0.1862
"result.74",4,75,0.8,0.126288888888889,0.196
"result.75",5,100,0.8,0.122022222222222,0.2038
"result.76",6,125,0.8,0.147955555555556,0.2192
"result.77",7,150,0.8,0.122266666666667,0.195
"result.78",8,175,0.8,0.131088888888889,0.2074
"result.79",9,200,0.8,0.117311111111111,0.1942
"result.80",10,225,0.8,0.142355555555556,0.22
"result.81",1,250,0.8,0.209377777777778,0.2796
"result.82",2,50,0.8,0.138222222222222,0.1954
"result.83",3,75,0.8,0.123555555555556,0.1864
"result.84",4,100,0.8,0.123866666666667,0.1924
"result.85",5,125,0.8,0.128933333333333,0.206
"result.86",6,150,0.8,0.146133333333333,0.219
"result.87",7,175,0.8,0.120733333333333,0.198
"result.88",8,200,0.8,0.124977777777778,0.2056
"result.89",9,225,0.8,0.122666666666667,0.199
"result.90",10,250,0.8,0.138644444444444,0.219
"result.91",1,50,0.85,0.208888888888889,0.2768
"result.92",2,75,0.85,0.131822222222222,0.1888
"result.93",3,100,0.85,0.120577777777778,0.1832
"result.94",4,125,0.85,0.124466666666667,0.1946
"result.95",5,150,0.85,0.120333333333333,0.2012
"result.96",6,175,0.85,0.143422222222222,0.2186
"result.97",7,200,0.85,0.115888888888889,0.1924
"result.98",8,225,0.85,0.1202,0.2054
"result.99",9,250,0.85,0.113311111111111,0.1926
