"","best_features"
"1","EDTH"
"2","EVTH"
"3","elevation"
"4","hor_dist_road"
"5","wild_area_1"
"6","tot_dist_hyd"
"7","hor_dist_fire"
"8","wild_area_4"
"9","hor_dist_hyd"
"10","wild_area_3"
"11","ver_dist_hyd"
"12","hill_noon"
"13","hill_3pm"
"14","hill_9am"
"15","slope"
"16","soil_type_4"
"17","soil_type_23"
"18","aspect"
"19","soil_type_29"
"20","soil_type_10"
"21","soil_type_2"
"22","soil_type_22"
"23","soil_type_38"
"24","soil_type_13"
"25","soil_type_32"
"26","soil_type_39"
"27","soil_type_12"
"28","soil_type_40"
"29","soil_type_30"
"30","soil_type_11"
"31","soil_type_31"
"32","soil_type_16"
"33","soil_type_6"
"34","soil_type_5"
"35","soil_type_33"
"36","soil_type_17"
"37","soil_type_19"
"38","wild_area_2"
"39","soil_type_34"
"40","soil_type_35"
"41","soil_type_1"
"42","soil_type_7"
"43","soil_type_8"
"44","soil_type_14"
"45","soil_type_18"
"46","soil_type_21"
"47","soil_type_25"
"48","soil_type_26"
"49","soil_type_27"
"50","soil_type_28"
"51","soil_type_36"
"52","soil_type_37"
"53","soil_type_24"
"54","soil_type_3"
