"","k","cvError"
"1",1,0.3244
"2",2,0.2456
"3",3,0.22066
"4",4,0.25212
"5",5,0.24098
"6",6,0.27274
"7",7,0.24502
"8",8,0.23424
"9",9,0.24874
"10",10,0.29494
"11",11,0.3286
"12",12,0.24844
"13",13,0.2413
"14",14,0.26072
"15",15,0.2608
"16",16,0.27368
"17",17,0.2544
"18",18,0.24202
"19",19,0.25438
"20",20,0.28908
"21",21,0.34986
"22",22,0.2624
"23",23,0.25656
"24",24,0.26894
"25",25,0.26854
"26",26,0.28548
"27",27,0.26052
"28",28,0.26178
"29",29,0.26554
"30",30,0.29716
"31",31,0.35648
"32",32,0.26826
"33",33,0.2657
"34",34,0.2722
"35",35,0.2768
"36",36,0.29342
"37",37,0.27022
"38",38,0.26848
"39",39,0.27142
"40",40,0.30032
"41",41,0.36698
"42",42,0.27978
"43",43,0.274
"44",44,0.27374
"45",45,0.28122
"46",46,0.29984
"47",47,0.27788
"48",48,0.27102
"49",49,0.2789
"50",50,0.30488
"51",51,0.37406
"52",52,0.2878
"53",53,0.2798
"54",54,0.27714
"55",55,0.28262
"56",56,0.30224
"57",57,0.28082
"58",58,0.27404
"59",59,0.28318
"60",60,0.31162
"61",61,0.3804
"62",62,0.2967
"63",63,0.28466
"64",64,0.2806
"65",65,0.28322
"66",66,0.30488
"67",67,0.28456
"68",68,0.2758
"69",69,0.28036
"70",70,0.31426
"71",71,0.38138
"72",72,0.30104
"73",73,0.2874
"74",74,0.28274
"75",75,0.28586
"76",76,0.30678
"77",77,0.28312
"78",78,0.27794
"79",79,0.28584
"80",80,0.31864
"81",81,0.3908
"82",82,0.30054
"83",83,0.29226
"84",84,0.2856
"85",85,0.2905
"86",86,0.30592
"87",87,0.2879
"88",88,0.28128
"89",89,0.2898
"90",90,0.3231
"91",91,0.3954
"92",92,0.30418
"93",93,0.29644
"94",94,0.29018
"95",95,0.29196
"96",96,0.31128
"97",97,0.2878
"98",98,0.28294
"99",99,0.29124
"100",100,0.32486
"101",101,0.39612
"102",102,0.30658
"103",103,0.29554
"104",104,0.29126
"105",105,0.2925
"106",106,0.31192
"107",107,0.29098
"108",108,0.28272
"109",109,0.29204
"110",110,0.32906
"111",111,0.40074
"112",112,0.30872
"113",113,0.29768
"114",114,0.2928
"115",115,0.29178
"116",116,0.3137
"117",117,0.29254
"118",118,0.28398
"119",119,0.29652
"120",120,0.32888
"121",121,0.40056
"122",122,0.3128
"123",123,0.30188
"124",124,0.29296
"125",125,0.29362
"126",126,0.31422
"127",127,0.2931
"128",128,0.28416
"129",129,0.29852
"130",130,0.3331
"131",131,0.40472
"132",132,0.31388
"133",133,0.30214
"134",134,0.29548
"135",135,0.29426
"136",136,0.31552
"137",137,0.29492
"138",138,0.28562
"139",139,0.29826
"140",140,0.33142
"141",141,0.40626
"142",142,0.31628
"143",143,0.30462
"144",144,0.29952
"145",145,0.293
"146",146,0.31724
"147",147,0.29576
"148",148,0.28704
"149",149,0.29718
"150",150,0.3325
"151",151,0.40888
"152",152,0.31812
"153",153,0.3057
"154",154,0.29668
"155",155,0.29622
"156",156,0.31632
"157",157,0.29728
"158",158,0.29092
"159",159,0.29886
"160",160,0.33424
"161",161,0.41212
"162",162,0.3175
"163",163,0.30764
"164",164,0.29914
"165",165,0.29648
"166",166,0.31752
"167",167,0.29734
"168",168,0.28934
"169",169,0.30016
"170",170,0.33554
"171",171,0.41268
"172",172,0.32194
"173",173,0.30814
"174",174,0.30154
"175",175,0.2945
"176",176,0.32056
"177",177,0.3001
"178",178,0.29078
"179",179,0.30322
"180",180,0.33756
"181",181,0.41686
"182",182,0.32548
"183",183,0.30754
"184",184,0.30374
"185",185,0.29506
"186",186,0.3212
"187",187,0.2992
"188",188,0.29498
"189",189,0.30438
"190",190,0.33654
"191",191,0.41908
"192",192,0.32564
"193",193,0.311
"194",194,0.30502
"195",195,0.29468
"196",196,0.32278
"197",197,0.2991
"198",198,0.29604
"199",199,0.30516
"200",200,0.33842
