"","k","cvError"
"1",1,0.3244
"2",2,0.24578
"3",3,0.2201
"4",4,0.25236
"5",5,0.24068
"6",6,0.27318
"7",7,0.24482
"8",8,0.23406
"9",9,0.24912
"10",10,0.2939
"11",11,0.32774
"12",12,0.24892
"13",13,0.24126
"14",14,0.26008
"15",15,0.26046
"16",16,0.27488
"17",17,0.25402
"18",18,0.24352
"19",19,0.25434
"20",20,0.28922
"21",21,0.34966
"22",22,0.26204
"23",23,0.25646
"24",24,0.26862
"25",25,0.26858
"26",26,0.28544
"27",27,0.26062
"28",28,0.26254
"29",29,0.26486
"30",30,0.2973
"31",31,0.35642
"32",32,0.26862
"33",33,0.2658
"34",34,0.27106
"35",35,0.27694
"36",36,0.29316
"37",37,0.27026
"38",38,0.26812
"39",39,0.27138
"40",40,0.30084
"41",41,0.36694
"42",42,0.27984
"43",43,0.27436
"44",44,0.27388
"45",45,0.2809
"46",46,0.29972
"47",47,0.27806
"48",48,0.27054
"49",49,0.27948
"50",50,0.30542
"51",51,0.37362
"52",52,0.28752
"53",53,0.27998
"54",54,0.2775
"55",55,0.28232
"56",56,0.30212
"57",57,0.28096
"58",58,0.27396
"59",59,0.28344
"60",60,0.31148
"61",61,0.38126
"62",62,0.29644
"63",63,0.28466
"64",64,0.28074
"65",65,0.28376
"66",66,0.30502
"67",67,0.28412
"68",68,0.2761
"69",69,0.28048
"70",70,0.31432
"71",71,0.38148
"72",72,0.30104
"73",73,0.28784
"74",74,0.2826
"75",75,0.28614
"76",76,0.30648
"77",77,0.28314
"78",78,0.27768
"79",79,0.28582
"80",80,0.3188
"81",81,0.39094
"82",82,0.30008
"83",83,0.29234
"84",84,0.28568
"85",85,0.29024
"86",86,0.30548
"87",87,0.28788
"88",88,0.28076
"89",89,0.2901
"90",90,0.32364
"91",91,0.39502
"92",92,0.30376
"93",93,0.29656
"94",94,0.29016
"95",95,0.29244
"96",96,0.31126
"97",97,0.28774
"98",98,0.2831
"99",99,0.29178
"100",100,0.32466
"101",101,0.39642
"102",102,0.3067
"103",103,0.29562
"104",104,0.29132
"105",105,0.29268
"106",106,0.31238
"107",107,0.29074
"108",108,0.28284
"109",109,0.29188
"110",110,0.32954
"111",111,0.40068
"112",112,0.3086
"113",113,0.29732
"114",114,0.29306
"115",115,0.29202
"116",116,0.31392
"117",117,0.29264
"118",118,0.28348
"119",119,0.2965
"120",120,0.32874
"121",121,0.40096
"122",122,0.31276
"123",123,0.30184
"124",124,0.29274
"125",125,0.29382
"126",126,0.31462
"127",127,0.29304
"128",128,0.28404
"129",129,0.29866
"130",130,0.33344
"131",131,0.40468
"132",132,0.3141
"133",133,0.30234
"134",134,0.29568
"135",135,0.29446
"136",136,0.31558
"137",137,0.29494
"138",138,0.28556
"139",139,0.29806
"140",140,0.3309
"141",141,0.40624
"142",142,0.3165
"143",143,0.30408
"144",144,0.2995
"145",145,0.29284
"146",146,0.31732
"147",147,0.29598
"148",148,0.28684
"149",149,0.29708
"150",150,0.33278
"151",151,0.40912
"152",152,0.31828
"153",153,0.30542
"154",154,0.29692
"155",155,0.29622
"156",156,0.31606
"157",157,0.29718
"158",158,0.2908
"159",159,0.29882
"160",160,0.33412
"161",161,0.41206
"162",162,0.31732
"163",163,0.30772
"164",164,0.29884
"165",165,0.2967
"166",166,0.31748
"167",167,0.29746
"168",168,0.28922
"169",169,0.30022
"170",170,0.33538
"171",171,0.41298
"172",172,0.322
"173",173,0.30816
"174",174,0.3015
"175",175,0.29428
"176",176,0.32086
"177",177,0.29972
"178",178,0.29114
"179",179,0.30342
"180",180,0.33712
"181",181,0.41686
"182",182,0.32512
"183",183,0.30742
"184",184,0.304
"185",185,0.29522
"186",186,0.32128
"187",187,0.29926
"188",188,0.2949
"189",189,0.30454
"190",190,0.33656
"191",191,0.41894
"192",192,0.3256
"193",193,0.31112
"194",194,0.30498
"195",195,0.29516
"196",196,0.32288
"197",197,0.29928
"198",198,0.29566
"199",199,0.30536
"200",200,0.3381
